"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","01daeea0-2a6d-450e-b541-5e403e998637","05a38163-a505-4f97-b2a3-7430c49b14f4","07b21ab7-9c14-4bf2-b692-3449e7c8daf0","0c403fda-6913-4ea2-92d2-2c3d9ebe5bf9","195f1b52-8967-4af0-9485-6a4d654fc76f","1e2a2928-92b0-43e4-998b-427924e3aea0","1ea0d15c-4030-4699-b57a-71b9652d2f27","21c5c6c1-99c9-4467-af84-9de60453c42d","2246cc48-f55a-4eab-9188-83785204cd7b","38c85503-bd80-4952-8726-657af216295e","3e32a9d5-c17a-4cdd-b166-2f1d0d6db295","4671ef5e-e490-4432-a5ae-1b4440baaa13","4b7f43e2-26a2-46e7-a9f4-f3a411483d4f","5984136a-a74a-45f6-a034-e1efe45d89b3","5bf8138a-a093-4b56-b160-7f0b076f0d18","5f322a49-5a2a-4800-8501-3a922aaf795d","5fd5097d-0a92-4e4f-9891-105791d711b6","628792e2-4e0c-4b49-b6b1-af80d2b6dccf","69595b5c-5d7b-416b-aa98-b2218bbe5d7b","71c61ca2-a94d-4978-bc40-76f33e130e84","7e26363a-e1ab-4156-bb02-c7e3c13a581b","86caadb5-6b0d-4c6f-b9b1-579906dc5558","87568d62-a031-4a4a-b539-75998f3a8b59","8bd24827-f3b7-49a9-9342-f2c97b66a9fe","8c76a418-c594-44e6-ad17-95a11745f7d6","8e7d2668-9edf-44f7-888d-ee0638a154a2","93d2f741-5fa7-447f-beab-da1876e2130e","a32e18ec-277e-4589-ad58-91a2b37d4a0c","a3a2f30a-46d8-41d1-9f7e-046d7d416383","aa434f5d-ab31-4547-9c91-03088158a743","b1ad1cf2-155b-4aa1-840a-636d16ec8cda","b36ac304-1876-4967-82f4-36244e5572e2","b3f586ad-456a-4b62-9471-f82e892daa71","c0953c42-6854-43e8-9e30-84af3b7d7d84","c72fbf77-1dad-4239-80c7-46485578a249","d61f7ccd-7541-4cc2-9109-ecee3f223460","d9209d52-ba34-4e29-bf04-a0ff35a0e1d5","dcef5416-8458-40ee-b919-358e2774eb2f","e12bbe1f-7c60-4785-a96e-ce2197579531","e225008e-3706-45a2-9349-dc82a5cfa125","e27be5d8-faaa-498f-8474-044ccb63fadb","f5a44716-7285-47a7-be8b-76c73e697f7b","0caf4196-8f2a-4812-b485-b7651bc1cbf7","241c2d16-417a-4ba4-aeaf-ae7e8b96bb4a","26b3089e-1528-4bfb-ac0c-8d8cd45ac051","272d2832-7484-41fa-abf9-9a28f69d6b04","3066ea1b-4994-43d3-a73d-ba1eee638d6f","31d548ab-7fa7-4646-9def-d3fa5532d88b","342b23fe-2059-4a46-bc56-8ec72767d78b","3a7710b9-1240-4570-a50c-06deea2c287e","3c916c94-a5c6-4070-834e-a75d351c6f8f","3d92c204-11df-4c55-8460-d5f1e417b491","430332db-35e4-40f0-a56a-7b2dfa9a93fe","47ef624c-a4ee-4caf-8bd5-ca6fcecf3b30","4ab9f4e8-beb7-4b43-b509-6109ba7acd0a","5106edc8-0497-4c14-af8b-e888484c6bd9","515ce558-5c94-48c0-8169-2517da2f7170","5278a216-f2e3-444b-9ac8-31c8c46c88f4","565983e0-ffa6-49b2-a4ec-b9fa18a43b5a","5e5ad53d-2c5e-4e30-bb55-1749dbcdb270","6abe5e40-8775-4c31-9924-693b93200c51","6daae859-3e24-4145-8288-c575d23111cf","6f6be875-b396-465f-9c26-9be81fd6c9cf","768f5843-c7ce-41d3-b5fb-70a5f4161d11","7a9b8e79-54a4-4015-8372-4332f1cafdee","7f58b7ed-10c8-4b45-92ba-61aaa9904fe7","848c6274-235a-4ed3-ad59-6be67064865d","85d43c32-cbd3-4c44-bddd-88174388cc66","867719fa-1bd0-4f57-9cd8-cc4b1b5881bb","92b34c13-82a6-462f-ad6e-4546cf4655bc","95aa5f47-7786-4056-b91e-4cb0dba69949","97f64788-cd41-4856-bffb-3f44691b4b76","9de762e9-edab-440e-91b0-c054b945a279","a358c96a-ad1a-475e-9693-9d353b1480a1","a3a44773-6092-4515-b705-4932ee97688e","aafc88db-5aaa-4046-b5e4-e800815a316a","b37ac38d-6961-4c6d-bd63-2c0535b438aa","c56dd841-58f8-4b85-890a-1132f6c71b9c","c6b0b2c1-fd5a-498c-bce4-04bed3a9ccf5","cffb191b-6924-4843-968f-a3a5a888ef20","d052a08c-a172-4021-a424-079d9f3a78a3","d232a064-8d33-48cc-ad14-c49842d35ce8","d396b1c2-49fe-47ed-aaee-648f6dfb0dae","d9de0d6b-afd6-47c4-9bf3-9527fde50ba9","e36f9582-c5cf-4308-9923-c83e97314d51","ef68bf5c-262e-4183-bd00-b27cbc0f7a6c","f999b8b6-d912-4ec8-900b-3b327dc22f75"
"1","LINC00645",220.017293218388,3.78722209855403,0.421811593682373,8.97846848042265,2.74561761950693e-19,8.37578111006784e-15,14.6653182623238,22.0277154513417,23.7498267890283,11.7371703001504,33.9512313055084,5.66701241293342,384.599985312013,11.187805512311,7.01227723175615,30.0703136194742,20.0377002302986,19.2730746687675,85.3442516123473,9.98726037809529,16.4163851389046,1567.22388499624,861.982362267486,143.932686725984,23.8594814239708,40.5038187402173,17.5196754194623,471.227465988855,105.561669801508,29.2127054108215,46.6833166370555,287.842900001958,5029.50654462377,35.1304052934503,1503.85816468457,1417.22261119315,211.572683431116,296.289250365568,20.8611513952777,113.869956279215,62.9157232209676,5.20048978907065,49.9120084136364,4.18215377123454,15.7635938033693,26.4288021498286,28.731663665454,4651.30055367843,41.3337314338997,36.1186018045015,62.9223050615371,7.4364898121172,88.6790154078998,16.4213537331357,72.4572091849797,12.4640220298111,3.53207971430229,82.7670054694106,67.7847076105475,48.6145062044366,24.6692125027074,16.348058492936,34.6658794528112,1.71339438528376,5.08192864315882,27.3516610654531,8.32373096348449,11.2611996283267,23.3468946823585,14.0438216432727,37.4721208337847,14.2069418316847,12.2836702132295,11.6668461854358,5.80272549416559,10.4753961481662,94.539228466349,6.79377912417177,6.42820668586163,14.5396156743009,99.3273922029693,47.641307861773,14.6570935253092,46.5801145294412,34.8106262955099,5.40184623813418,68.3187532677688,37.3326740928985,7.21051199180127,11.8189355358917,9.41555600894927,20.8767388112902,52.5445686576068
"2","SCGN",100.119022075484,3.24441355927122,0.483991993551347,6.70344469020026,2.03562767534422e-11,3.10494289320254e-07,2768.55703891348,3.52443447221466,30.8747748257368,69.44492427589,19.5219580006673,213.727325287775,2.83314906307192,563.585702682665,21.0368316952685,175.076048184494,6.90955180355124,6.13234194006238,132.757724730318,757.215923211952,2.34519787698638,11.2563041463818,29.2833729341742,1802.36727454322,14.9121758899817,9.45089103938403,0,13.162778379577,5.8645372111949,20.8662181505868,7.5026758880982,551.188531918643,86.2618855037216,11.7101350978168,1.55759519905186,3.97426419291404,96.3970214449461,14.4803017095954,6.95371713175925,16.1231796501543,11.9839472801843,3.71463556362189,1.89539272456847,163.103997078147,19.2666146485624,137.612038780142,8.54184595459443,3.17494918339825,2.06668657169498,1.44474407218006,5.12158297012512,0.92956122651465,0.777886100069296,6.56854149325429,26.5676433678259,4.98560881192444,3.53207971430229,2.17807909130028,13.180359813162,38.0077048507413,24.6692125027074,9.0822547182978,92.4423452074965,29.9844017424659,5.08192864315882,9.94605856925567,2.49711928904535,1.40764995354084,74.0660107164478,0,24.2127550002917,97.777187900418,4.77698286070035,0.833346156102558,18.1335171692675,0.87294967901385,9.17856587051932,22.9290045440797,10.4458358645251,5.81584626972035,8.5627062243939,23.8206539308865,25.8244028779257,2.55233504270911,1.65764887121476,6.94523087760109,196.918759418863,1.89827156404568,1.0300731416859,7.09136132153499,3.13851866964976,32.2640508901758,22.988248787703
"3","TPTEP1",280.80367073808,2.26433685371518,0.347274131444454,6.52031536094233,7.01597237909033e-11,7.13430844655099e-07,56.7484054498617,126.879640999728,109.24920322953,103.678337651329,188.429333745571,34.0020744776005,2557.62531668817,27.9695137807774,273.47881203849,40.7619806841762,96.7337252497174,164.697183533104,501.63454558813,102.596402065888,75.8280646892262,503.070208388296,1660.89284436906,19.252142810482,80.5257498059014,28.3526731181521,71.4263690178079,82.2673648723561,3630.14853372964,349.509154022329,15.0053517761964,100.613779635943,192.261660063379,27.3236485615725,57.6310223649189,4158.67005146525,18570.8235859004,76.8569859970834,471.307494485904,91.7005842602525,101.863551881567,76.521492610611,2473.48750556185,88.870767638734,136.617812962534,450.200974552253,128.127689318917,346.069460990409,43.4004180055947,310.619975518713,98.7733858524129,22.3094694363516,31.1154440027719,49.2640611994072,93.3892918384183,59.8273057430932,85.6529330718305,137.218982751918,80.9650674237095,339.417643318248,167.75064501841,60.8511066125953,90.5164630156736,44.5482540173779,44.0433815740431,104.433614977185,74.081205575012,152.730019959181,48.3039200324659,19.8954139946364,68.0263116674861,447.100816467723,96.2220833369641,333.338462441023,26.8376054105159,15.7130942222493,77.0999533123623,316.759951664509,16.0705167146541,95.9614634503858,52.2325079688028,39.7010898848108,25.8244028779257,31.9041880338638,35.6394507311173,57.8769239800091,73.1412534984348,48.0895462891573,29.872121108891,170.19267171684,62.7703733929951,111.975235442375,65.6807108220085
"4","SEPT14",151.729543655135,2.96598769104366,0.476658889977208,6.22245331705758,4.8944043789772e-10,3.73271749962697e-06,3.82573519886708,5417.93689241199,61.7495496514735,31.2991208004011,8.48780782637709,2053.07763988559,21.9569052388074,3313.6881451776,52.5920792381711,11.3598962562458,8.29146216426149,20080.7917071585,9.48269462359414,16.3427897096105,21.8885135185395,6.06108684805175,4.50513429756526,14.6682992841767,4.97072529666058,14.8514002047463,29.6486814790901,15.1371951365135,17.5936116335847,5.2165545376467,24.1752889727609,3.49960972646758,16.8137573439457,42248.2157437399,6.23038079620745,7.15367554724527,8.76336558590419,35.6438195928503,16.997975210967,17.1308783782889,34.4538484305299,43.8326996507384,2.52719029942463,48.0947683691972,26.2726563389488,3.64535202066601,12.4245032066828,114.298170602337,13.4334627160174,26.0053932992411,5.85323768014299,199.85566370065,12.4461776011087,26.2741659730172,26.5676433678259,14.9568264357733,3.53207971430229,10.8903954565014,96.0283357816089,22.9814029330064,74.0076375081222,13.6233820774467,15.4070575345827,18.8473382381214,33.8795242877254,57.1898367732201,32.4625507575895,334.31686396595,18.5165026791119,11.7031847027273,93.3920550011249,6.68561968549867,4.09455673774316,20.0003077464614,16.6828357957261,6.9835974321108,24.7821278504022,16.135225419908,11.2493617002579,14.5396156743009,5.13762373463634,52.9347865130811,29.3141870506183,12.7616752135455,14.0900154053254,6.17353855786763,10.4487504997764,12.6551437603046,45498.330668266,11.8189355358917,34.5237053661473,89.2006112846037,13.1361421644017
"5","ADAMTS20",12.771963300801,2.59347272632964,0.420243115753125,6.17136278766121,6.77038722556138e-10,4.13074865405951e-06,0.637622533144513,0.881108618053666,7.12494803670848,0.978097525012535,16.1268348701165,2.42871960554289,73.6618756398698,0,7.01227723175615,0,2.7638207214205,2.62814654574102,4.74134731179707,2.72379828493508,3.1269305026485,24.244347392207,21.7748157715654,23.8359863367872,3.97658023732847,9.45089103938403,2.69533467991728,1.97441675693655,130.485952949086,4.17324363011736,0,0.874902431616894,7.3103292799764,9.75844591484731,54.5158319668151,112.869103078759,12.5190936941489,227.22934990442,118.985826476769,1.00769872813464,5.99197364009215,3.71463556362189,11.3723563474108,1.04553844280864,3.50302084519317,1.82267601033301,0.776531450417676,19.0496951003895,18.6001791452549,1.44474407218006,3.65827355008937,1.8591224530293,0.777886100069296,4.92640611994072,6.44064081644264,0,3.53207971430229,4.35615818260056,0,0.883900112807938,4.93384250054148,0.90822547182978,0.962941095911422,5.99688034849317,5.08192864315882,12.4325732115696,0,1.40764995354084,3.22026133549773,1.17031847027273,2.30597666669444,1.67140492137467,2.72970449182877,1.66669231220512,1.4506813735414,0.87294967901385,1.83571317410386,0.849222390521471,3.21410334293081,0.969307711620059,3.42508248975756,13.2336966282703,4.18774100723119,1.27616752135455,0.828824435607379,1.54338463946691,27.3275013071075,1.26551437603046,5.15036570842948,3.15171614290444,6.27703733929951,1.89788534648093,1.64201777055021
"6","DNAH8",23.0166652545769,2.89518414861782,0.480720324353994,6.02259567974051,1.71641840108648e-09,8.72684329059067e-06,5.73860279830062,0.881108618053666,0,2.93429257503761,8.48780782637709,2.42871960554289,2.12486179730394,7.69161628971379,77.1350495493177,0,4.14573108213074,6.13234194006238,2.84480838707824,3.6317310465801,2.34519787698638,1477.17345182518,0.750855716260877,3.66707482104419,4.97072529666058,18.9017820787681,4.04300201987592,2.63255567591539,2.19920145419809,14.6063527054108,5.0017839253988,11.3737316110196,4.38619756798584,3.90337836593892,0.778797599525931,5.56396987007966,10.0152749553191,1.11386936227657,3.09054094744855,3.02309618440393,5.99197364009215,2.22878133817314,13655.672782941,0,3.50302084519317,6.37936603616552,4.65918870250606,19.0496951003895,15.5001492877124,1.44474407218006,8.77985652021448,1.8591224530293,10.1125193009009,16.4213537331357,4.02540051027665,0,5.29811957145343,1.08903954565014,13.180359813162,0.883900112807938,0,0,26.9623506855198,2.57009157792565,21.1747026798284,9.94605856925567,5.82661167443914,7.03824976770421,3.22026133549773,1.17031847027273,8.07091833343055,7.521322146186,6.14183510661473,2.50003846830767,1.4506813735414,2.61884903704155,0.917856587051932,3.39688956208588,6.42820668586163,0.969307711620059,3.42508248975756,10.5869573026162,0.697956834538532,3.82850256406366,0.828824435607379,1.54338463946691,2.41125011533302,3.79654312809137,5.15036570842948,8.66721939298721,9.41555600894927,3.79577069296186,2.46302665582532
"7","SLC18A1",42.4965462893086,2.12005688063957,0.356444916090676,5.9477826304591,2.71799199776493e-09,1.18450091262596e-05,33.1563717235147,71.3697980623469,9.49993071561131,6.84668267508775,19.5219580006673,160.295493965831,2.12486179730394,201.380499221597,38.5675247746588,3.34114595771936,55.2764144284099,13.1407327287051,34.1377006449389,226.983190411257,14.8529198875804,12.1221736961035,261.297789258785,22.9192176315262,91.4613454585547,75.6071283150723,17.5196754194623,82.2673648723561,6.59760436259426,20.8662181505868,50.017839253988,83.9906334352218,7.3103292799764,64.4057430379922,77.1009623530671,754.315343815085,12.5190936941489,83.5402021707428,9.27162284234566,4.03079491253857,229.192991733525,17.0873235926607,22.7447126948216,7.31876909966045,14.0120833807727,7.29070404133203,20.9663491612772,12.699796733593,15.5001492877124,21.6711610827009,2.92661884007149,1.8591224530293,0.777886100069296,78.8224979190515,6.44064081644264,11.21761982683,1.76603985715114,32.6711863695042,1.88290854473743,36.2399046251255,19.7353700021659,47.2277245351486,11.5552931509371,3.42678877056753,5.08192864315882,59.676351415534,3.3294923853938,25.3376991637352,8.05065333874433,4.68127388109091,13.259365833493,22.563966438558,9.5539657214007,0,52.949870134261,2.61884903704155,7.34285269641545,2.54766717156441,3.21410334293081,10.6623848278206,5.13762373463634,10.5869573026162,20.9387050361559,3.19041880338638,4.14412217803689,27.0092311906709,8.84125042288773,0.632757188015228,9.27065827517306,45.6998840721144,53.3548173840459,7.59154138592372,17.2411865907772
"9","COL21A1",169.419489034918,-2.05623410718703,0.356968297754011,-5.76027092636666,8.39790310409544e-09,2.84651591215039e-05,75.8770814441971,35.2443447221466,28.4997921468339,185.838529752382,89.9707629595972,3.23829280739052,61.6209921218142,7.69161628971379,63.1104950858054,19.3786465547723,35.2387141981113,70.0839078864272,176.378119998851,15.4348569479654,32.0510376521471,96.1115200191064,21.0239600553045,224.608332788956,32.8067869579598,22.9521639527898,5.39066935983456,30.274390273027,41.7848276297636,480.966328371026,16.6726130846627,98.863974772709,87.7239513597168,11.7101350978168,21.0275351872001,11.9227925787421,10.0152749553191,53.4657293892754,57.1750075277983,149.139411763927,38.947828660599,1793.42605011665,13.2677490719793,48.0947683691972,15.7635938033693,98.4245045579823,27.1786007646187,9.52484755019474,77.5007464385619,280.280350002932,376.802175659205,33.4642041545274,119.794459410672,22.98989522639,11.2711214287746,17.4496308417355,254.309739429765,43.5615818260056,1391.46941456096,68.9442087990192,113.478377512454,49.9524009506379,897.461101389445,315.264566892213,381.991636344104,101.947100334871,6.65898477078759,323.055664337623,253.595580170446,11.7031847027273,182.172156668861,223.968259464205,240.896421403889,44.1673462734356,23.9362426634331,215.618570716421,333.181941099851,90.8667957857974,1755.70395107596,252.989312732835,39.388448632212,68.8152224670054,41.8774100723119,2672.93287347711,5.80177104925165,10.0320001565349,181.647508688421,19.6154728284721,75.1953393430704,33.8809485362227,169.480008161087,180.299107915688,23.8092576729781
"10","ALX3",29.2989132830923,-1.85297451763802,0.325071691224888,-5.70020265577697,1.19665085590646e-08,3.65050310102825e-05,47.8216899858385,0.881108618053666,11.8749133945141,11.7371703001504,5.94146547846397,5.66701241293342,8.49944718921575,6.29314060067492,17.5306930793904,7.35052110698259,7.60050698390636,19.2730746687675,40.7755868814548,3.6317310465801,7.03559363095913,40.6958688369189,15.0171143252175,0,3.97658023732847,5.4005091653623,1.34766733995864,5.26511135183079,3.66533575699681,17.7362854279988,2.5008919626994,5.24941458970136,6.57929635197876,1.95168918296946,13.2395591919408,4.76911703149685,11.267184324734,3.34160808682971,79.5814293968003,4.03079491253857,19.4739143302995,5.94341690179503,2.52719029942463,28.2295379558331,26.2726563389488,4.55669002583252,3.1061258016707,3.17494918339825,4.13337314338997,15.8921847939807,53.4107938313048,82.7309491598038,87.9011293078305,3.28427074662715,0.80508010205533,4.98560881192444,2.64905978572672,34.8492654608045,16.9461769026369,43.311105527589,177.618330019493,38.1454698168508,8.6664698632028,137.071550822701,54.2072388603607,37.2977196347088,19.1445812160143,24.6338741869647,11.2709146742421,2.34063694054545,172.948250002083,106.969914967979,27.2970449182877,32.5005000879998,2.1760220603121,18.3319432592908,3.67142634820773,5.9445567336503,213.737872304899,7.75446169296047,20.5504949385454,92.6358763978919,12.5632230216936,104.007652990396,19.0629620189697,25.465846551204,30.5425014608849,77.8291341258731,7.21051199180127,59.0946776794583,50.2162987143961,55.038675047947,21.3462310171528
"11","AC006262.1",20.6244744116038,2.15239535933877,0.384101327126633,5.60371758004667,2.09802457862818e-08,5.81839434505738e-05,5.73860279830062,9.69219479859033,2.37498267890283,44.9924861505766,317.444012706503,1.61914640369526,68.703864779494,1.39847568903887,7.01227723175615,14.7010422139652,13.8191036071025,5.25629309148204,53.1030898921272,4.53966380822513,2.34519787698638,11.2563041463818,83.3449845049573,0,7.95316047465693,1.35012729134058,51.2113589184283,5.92325027080964,30.0557532073739,15.6496636129401,1.66726130846627,6.99921945293515,13.8896256319552,7.80675673187785,199.372185478638,0.794852838582808,45.0687372989359,15.594171071872,6.18108189489711,4.03079491253857,8.98796046013823,9.65805246541693,248.928244493326,2.09107688561727,12.2605729581761,78.3750684443193,14.7540975579358,9.52484755019474,9.30008957262743,18.7816729383408,6.58489239016086,4.64780613257325,5.44520270048507,3.28427074662715,1.61016020411066,0,3.53207971430229,6.53423727390084,0,26.5170033842381,9.86768500108296,3.63290188731912,0,3.42678877056753,3.38795242877254,17.4056024961974,1.6647461926969,8.44589972124505,6.44052267099546,0,6.91793000008333,10.028429528248,20.4727836887158,13.3335384976409,1.4506813735414,3.4917987160554,3.67142634820773,34.8181180113803,17.6775683861195,21.3247696556413,7.70643560195451,0,2.79182733815413,7.65700512812732,3.31529774242951,8.48861551706799,7.23375034599905,1.26551437603046,0,7.09136132153499,3.13851866964976,7.59154138592372,18.8832043613275
